滴下量,PH
0.0,11.9
1.0,11.88
2.0,11.81
3.0,11.73
4.0,11.67
5.0,11.59
6.0,11.54
7.0,11.47
8.0,11.41
9.0,11.34
10.0,11.27
11.0,11.19
12.0,11.13
13.0,10.07
14.0,11.0
15.0,10.89
16.0,10.8
17.0,10.73
18.0,10.64
19.0,10.55
20.0,10.43
20.2,10.4
20.4,10.37
20.6,10.35
20.8,10.32
21.0,10.26
21.2,10.22
21.4,10.19
21.6,10.14
21.8,10.1
22.0,10.07
22.2,10.03
22.4,9.97
22.6,9.9
22.8,9.83
23.0,9.76
23.2,9.67
23.4,9.57
23.6,9.5
23.8,9.39
24.0,9.27
24.2,9.11
24.4,8.93
24.6,8.71
24.8,8.35
25.0,6.7
25.2,6.22
25.4,5.46
25.6,4.02
25.8,3.71
26.0,3.53
26.2,3.41
26.4,3.27
26.6,3.18
26.8,3.09
27.0,3.05
27.2,3.01
27.4,2.95
27.6,2.9
27.8,2.86
28.0,2.82
28.0,2.64
29.0,2.53
30.0,2.42
31.0,2.35
32.0,2.28
33.0,2.24
34.0,2.19
35.0,2.1
